"Início dos relatórios","Término dos relatórios","Nome da campanha","Veiculação da campanha",Resultados,"Indicador de resultados",Alcance,Frequência,"Custo por resultados","Orçamento do conjunto de anúncios","Tipo de orçamento do conjunto de anúncios","Valor usado (BRL)",Impressões,"CPM (custo por 1.000 impressões) (BRL)","Cliques no link","CPC (custo por clique no link) (BRL)","CTR (taxa de cliques no link)","Cliques (todos)","CTR (todos)","CPC (todos) (BRL)","Custo por candidatura enviada (BRL)","Apps enviados","Inscrições no app para celular enviadas","Apps do site enviados","Candidaturas enviadas offline","Inscrições na Meta enviadas","Finalizações de compra iniciadas","Finalizações de compra iniciadas no app para celular","Finalizações de compra iniciadas no site","Finalizações de pagamento iniciadas offline","Finalizações da compra iniciadas na Meta","Custo por finalização de compra iniciada (BRL)",Compras,"Compras no app","Compras no site","Compras offline","Compras na Meta","Custo por compra (BRL)"
2026-03-10,2026-03-16,"F3 -  [V20] ESCALA 1-1-1 |22-45 INSTA| VSL2 (ABO) = — Cópia",inactive,,,0,0,,150,Diário,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,
2026-03-10,2026-03-16,"F0-  [V35] TESTE DE PUBLICO 1-3-1 (ABO)",inactive,,,0,0,,"Usando o orçamento do conjunto de anúncios",0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,
2026-03-10,2026-03-16,"F3 -  [V20] ESCALA 1-1-1 |22-45 INSTA ALL|",inactive,,,0,0,,157,Diário,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,
2026-03-10,2026-03-16,"F3 -  [V20] ESCALA 1-1-1 |22-45 INSTA ALL| 2",inactive,,,0,0,,172,Diário,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,
2026-03-10,2026-03-16,"F3 -  [V20] ESCALA 1-1-1 |22-45 INSTA STOR|",inactive,,,0,0,,335,Diário,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,
2026-03-10,2026-03-16,"F2 -  [V35 +V34] TESTE DE PUBLICO 1-2-1 (CBO)",inactive,,,0,0,,200,Diário,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,
2026-03-10,2026-03-16,"F1 - [VX ] ESTEIRA DE CRIATIVOS (01) 1-X-1 | OPEN | VSL 2 | ABO",inactive,,,0,0,,"Usando o orçamento do conjunto de anúncios",0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,
2026-03-10,2026-03-16,"F2 - [V38] TESTE DE PUBLICOS (OPEN) 1-1-1  VSL 2 — Cópia",inactive,,,0,0,,"Usando o orçamento do conjunto de anúncios",0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,
2026-03-10,2026-03-16,"FX- 1-1-X [IMAGE] (ADVANCED+) Campanha",inactive,,,0,0,,"Usando o orçamento do conjunto de anúncios",0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,
2026-03-10,2026-03-16,"VTEST - TICKET 247 - PITCH10 MIN Campanha",inactive,,,0,0,,"Usando o orçamento do conjunto de anúncios",0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,
2026-03-10,2026-03-16,"H3 (SEGMT. 01) | V22",inactive,,,0,0,,50,Diário,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,
2026-03-10,2026-03-16,"[C04] ZONA DE ESCALA CBO — Cópia — Cópia — Cópia — Cópia — Cópia",inactive,,,0,0,,15,Diário,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,
2026-03-10,2026-03-16,"[00] BIBLIOTECA DE CRIATIVOS",inactive,,,0,0,,"Usando o orçamento do conjunto de anúncios",0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,
2026-03-10,2026-03-16,"[F4] 1 (C04) 06/10 CBO 1-1-3= $96",inactive,,,0,0,,50,Diário,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,
2026-03-10,2026-03-16,"F1 - [NEW CRIATIVOS ] INSTA 20 - 45 11/10 (ABO) 1-5-1",inactive,,,0,0,,"Usando o orçamento do conjunto de anúncios",0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,
2026-03-10,2026-03-16,"F3 -  LAL 1% (1-1-X)",inactive,,,0,0,,100,Diário,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,
2026-03-10,2026-03-16,"F3 -  [V02 - V09] Advantage+  Campanha",inactive,,,0,0,,"Usando o orçamento do conjunto de anúncios",0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,
